DATA;corrente_neutro;corrente_f1;corrente_f2;corrente_f3;tensao_f1;tensao_f2;tensao_f3
23/03/2022 08:14;9.62;4.17;3.4;2.05;252.1;251.8;251.7
23/03/2022 08:14;;;;;;;
23/03/2022 08:14;;;;;;;
23/03/2022 08:13;9.27;4.07;3.29;1.91;252.9;252.7;252.6
23/03/2022 08:13;;;;;;;
23/03/2022 08:12;;;;;;;
23/03/2022 08:12;9.26;4.05;3.27;1.93;252.0;251.8;251.9
23/03/2022 08:12;;;;;;;
23/03/2022 08:11;;;;;;;
23/03/2022 08:11;9.19;3.98;3.26;1.94;251.9;251.7;251.7
23/03/2022 08:11;;;;;;;
23/03/2022 08:10;9.14;3.96;3.19;1.99;253.5;253.4;253.6
23/03/2022 08:10;;;;;;;
23/03/2022 08:10;;;;;;;
23/03/2022 08:09;8.79;3.74;3.05;2.0;252.7;252.4;252.0
23/03/2022 08:09;;;;;;;
23/03/2022 08:09;;;;;;;
23/03/2022 08:08;8.82;3.8;3.06;1.95;252.5;252.4;252.4
23/03/2022 08:08;;;;;;;
23/03/2022 08:08;;;;;;;
23/03/2022 08:07;6.59;2.6;2.0;1.99;252.7;252.4;252.7
23/03/2022 08:07;6.54;2.57;1.99;1.99;252.5;252.4;252.8
23/03/2022 08:07;;;;;;;
23/03/2022 08:07;;;;;;;
23/03/2022 08:06;6.62;2.6;2.01;2.01;252.3;252.1;252.5
23/03/2022 08:06;;;;;;;
23/03/2022 08:05;;;;;;;
23/03/2022 08:05;6.59;2.61;1.99;1.99;252.1;251.9;252.1
23/03/2022 08:05;;;;;;;
23/03/2022 08:04;;;;;;;
23/03/2022 08:04;6.5;2.58;1.97;1.96;252.5;252.4;252.3
23/03/2022 08:04;;;;;;;
23/03/2022 08:03;6.46;2.55;1.96;1.94;252.7;252.6;252.5
23/03/2022 08:03;6.43;2.55;1.96;1.91;252.6;252.4;252.3
23/03/2022 08:03;;;;;;;
23/03/2022 08:03;;;;;;;
23/03/2022 08:02;6.38;2.52;1.95;1.91;252.5;252.3;252.5
23/03/2022 08:02;;;;;;;
23/03/2022 08:02;;;;;;;
23/03/2022 08:01;9.26;4.04;3.26;1.97;250.8;250.7;250.9
